carat,cut,color,price
0.71,Ideal,G,2950
1.55,Premium,G,10499
0.51,Good,E,1170
1.01,Ideal,D,10797
0.47,Ideal,F,1226
0.3,Premium,F,737
0.8,Good,F,3477
0.31,Very Good,G,625
0.8,Ideal,H,3972
0.54,Ideal,H,1774
0.24,Very Good,F,404
0.91,Good,H,3485
0.76,Fair,H,2193
0.31,Ideal,E,680
1.01,Premium,F,4533
1.13,Ideal,G,10228
0.4,Ideal,G,745
1.08,Ideal,E,10300
0.43,Premium,E,1304
0.5,Ideal,I,1066
1.02,Premium,F,7677
0.36,Ideal,D,851
0.52,Very Good,F,1581
0.58,Ideal,E,1670
1.05,Ideal,G,8022
2.06,Ideal,I,18779
0.9,Very Good,F,4504
0.71,Good,I,2450
1.01,Premium,F,4989
1.16,Ideal,D,5793
1.54,Very Good,J,7453
0.51,Ideal,F,1274
1.02,Premium,F,7485
0.71,Very Good,D,2681
0.7,Good,I,2335
0.9,Very Good,H,4021
0.74,Ideal,D,3087
0.33,Ideal,F,893
0.78,Ideal,E,3601
1.13,Ideal,F,3542
0.54,Ideal,F,1260
0.36,Ideal,F,1056
1.5,Premium,I,8820
0.3,Very Good,H,540
1.31,Premium,H,6089
1.18,Premium,G,9304
1.0,Fair,E,4480
0.3,Premium,H,675
1.26,Premium,I,5983
0.37,Very Good,E,925
2.32,Premium,I,10913
0.91,Good,G,3340
0.72,Ideal,G,3012
1.5,Premium,D,8108
2.01,Premium,H,16287
0.3,Ideal,G,764
1.01,Premium,F,5249
1.13,Fair,J,4123
0.41,Premium,G,923
0.3,Very Good,D,552
0.9,Very Good,G,4531
1.25,Very Good,F,9377
1.51,Very Good,F,14165
1.51,Very Good,F,10838
2.11,Ideal,H,12226
0.4,Very Good,E,849
1.09,Ideal,E,7796
0.38,Very Good,E,1053
0.32,Ideal,H,720
0.91,Very Good,H,4922
0.41,Good,J,611
1.47,Very Good,J,6763
0.29,Very Good,E,504
0.33,Ideal,F,666
0.41,Premium,G,899
1.31,Premium,H,6095
1.03,Ideal,E,4845
1.11,Ideal,F,7473
1.03,Ideal,H,4283
0.78,Ideal,G,3171
0.5,Good,G,1259
0.31,Premium,G,907
0.31,Premium,F,625
0.58,Premium,D,2192
0.53,Good,G,1395
2.01,Fair,J,13744
0.8,Ideal,E,4126
1.51,Very Good,E,9731
0.72,Very Good,E,3719
0.23,Ideal,F,530
0.7,Very Good,J,1959
0.43,Ideal,I,1218
0.33,Ideal,G,666
2.0,Ideal,I,15092
0.25,Very Good,D,436
0.3,Very Good,H,675
0.52,Very Good,D,1664
0.74,Good,F,2190
1.01,Fair,E,4181
0.9,Premium,F,3951
1.7,Very Good,F,11091
1.2,Ideal,J,4830
1.54,Premium,I,6278
0.28,Good,E,470
0.31,Ideal,G,698
0.4,Premium,D,990
0.43,Premium,E,792
0.71,Ideal,F,3710
1.14,Very Good,H,4890
1.17,Premium,F,8256
0.51,Ideal,G,1875
0.52,Ideal,H,1665
1.52,Ideal,H,12123
0.36,Ideal,D,800
0.33,Ideal,F,810
1.15,Ideal,G,5008
1.65,Ideal,G,17729
0.3,Ideal,H,764
0.34,Very Good,H,628
1.0,Premium,G,4284
0.34,Ideal,E,805
0.4,Good,H,561
0.26,Very Good,D,597
0.57,Ideal,F,1949
1.19,Ideal,F,10748
0.7,Very Good,I,2513
0.7,Premium,F,2107
0.42,Very Good,G,798
0.95,Premium,G,2937
0.51,Premium,G,1974
0.7,Ideal,F,2940
1.23,Premium,F,6038
0.52,Ideal,E,1947
0.41,Ideal,D,1376
0.7,Ideal,H,2815
2.0,Very Good,H,15446
0.37,Ideal,D,1124
1.51,Premium,E,16518
0.34,Ideal,I,695
0.51,Premium,F,1971
0.5,Premium,J,1035
0.79,Fair,G,2362
1.86,Premium,G,10572
0.57,Premium,I,1728
0.31,Ideal,D,734
0.87,Ideal,F,4188
1.26,Premium,I,6350
0.53,Ideal,E,2163
0.53,Ideal,G,1371
0.71,Very Good,H,2695
0.71,Good,E,3464
1.13,Very Good,E,3967
0.9,Premium,E,3804
2.2,Ideal,H,16530
1.1,Very Good,I,4235
1.05,Ideal,J,4405
0.55,Very Good,D,1755
0.9,Fair,F,3750
1.11,Very Good,G,8184
0.5,Fair,F,827
0.74,Very Good,H,2222
0.31,Ideal,F,903
1.0,Premium,G,6702
0.56,Premium,D,1723
0.72,Fair,I,1799
0.51,Ideal,I,1131
2.11,Premium,H,13233
0.71,Very Good,G,2604
0.41,Premium,G,1061
0.51,Very Good,D,1658
1.52,Fair,H,3504
0.52,Very Good,G,2045
0.3,Very Good,E,675
1.57,Premium,H,11272
0.84,Fair,G,2724
1.14,Premium,H,4948
1.04,Very Good,G,4724
0.71,Ideal,E,2663
0.62,Premium,G,2399
1.5,Very Good,E,9548
0.54,Premium,D,1667
0.34,Premium,G,596
1.01,Very Good,G,3966
0.7,Ideal,I,2240
0.9,Very Good,H,4234
0.31,Very Good,G,593
0.33,Premium,G,743
0.26,Ideal,H,482
0.32,Ideal,H,534
0.3,Very Good,G,605
0.34,Ideal,G,765
2.72,Ideal,J,17801
0.24,Very Good,E,552
0.41,Ideal,E,1079
1.21,Good,F,7911
0.78,Ideal,F,2386
0.66,Ideal,G,2890
0.39,Premium,J,790
0.9,Ideal,E,4770
0.47,Premium,G,1086
1.75,Premium,J,10429
0.63,Premium,E,1775
1.18,Ideal,I,5551
0.9,Fair,J,2815
1.01,Ideal,H,5828
0.52,Premium,H,1219
1.29,Premium,I,6140
0.41,Ideal,D,1015
0.7,Premium,G,2415
0.34,Ideal,D,1033
0.41,Ideal,F,1192
0.33,Premium,G,752
1.5,Very Good,D,17153
1.28,Ideal,F,6458
0.51,Very Good,F,1569
0.28,Ideal,E,646
0.61,Ideal,E,2823
1.2,Premium,H,5678
1.0,Fair,F,3740
1.51,Ideal,I,8752
0.7,Good,F,1806
2.01,Very Good,I,16914
0.9,Very Good,E,5887
0.78,Very Good,E,2512
0.35,Premium,F,879
1.09,Ideal,F,5768
0.73,Fair,E,3813
1.05,Ideal,H,7329
1.0,Good,F,4851
0.52,Ideal,D,1600
2.1,Fair,G,11946
0.32,Premium,J,480
1.73,Very Good,H,13102
1.14,Premium,F,5135
0.91,Premium,H,3363
1.57,Premium,G,10914
1.04,Premium,F,5621
0.42,Very Good,E,1105
0.38,Premium,H,898
0.32,Premium,F,645
2.01,Very Good,I,14792
0.32,Ideal,G,936
1.22,Ideal,E,4974
0.83,Ideal,F,3560
1.5,Premium,H,8669
0.36,Ideal,D,852
0.23,Ideal,F,530
1.56,Premium,F,7950
0.3,Premium,E,844
0.71,Ideal,H,2178
1.01,Good,E,6968
1.21,Premium,F,5387
0.5,Premium,G,1583
0.57,Ideal,G,1815
1.74,Very Good,I,10823
2.55,Premium,I,18766
0.43,Very Good,G,976
2.01,Premium,G,12260
1.0,Very Good,F,4620
0.5,Ideal,F,1436
0.74,Ideal,F,3170
0.31,Ideal,H,628
0.26,Very Good,E,453
1.01,Ideal,G,6794
1.11,Ideal,D,12390
1.15,Premium,G,4270
1.0,Very Good,F,4255
0.23,Ideal,F,530
0.38,Ideal,E,1100
0.43,Ideal,D,1064
0.7,Premium,F,2415
0.74,Ideal,G,3537
1.5,Very Good,G,12672
0.7,Good,F,2212
1.24,Ideal,I,6232
1.58,Ideal,F,14044
1.61,Ideal,H,11045
0.72,Ideal,F,2943
0.24,Very Good,E,461
0.3,Ideal,H,540
0.24,Very Good,F,417
1.01,Good,E,6004
0.93,Ideal,G,5126
1.03,Very Good,D,4679
0.36,Ideal,F,803
0.43,Good,G,704
0.51,Ideal,D,1644
0.7,Ideal,G,2573
0.56,Ideal,H,1612
1.53,Very Good,I,7797
1.07,Premium,F,5662
1.18,Premium,G,9188
0.57,Very Good,F,2591
1.51,Ideal,G,14674
0.34,Very Good,H,686
2.01,Very Good,E,17024
1.21,Premium,H,6607
0.36,Premium,E,605
0.4,Ideal,H,1017
1.08,Good,E,4656
0.31,Ideal,D,942
1.63,Ideal,G,15697
0.38,Very Good,I,549
0.36,Ideal,E,597
0.5,Very Good,G,1063
1.57,Very Good,D,12304
0.75,Very Good,E,2923
0.72,Premium,G,2352
0.5,Ideal,F,1305
1.02,Ideal,E,5702
0.47,Good,E,1293
1.71,Very Good,H,9974
0.63,Ideal,G,1711
1.02,Ideal,J,4485
0.32,Ideal,H,936
0.72,Very Good,E,2401
0.53,Ideal,G,1695
1.33,Ideal,H,8385
1.52,Good,G,13903
0.34,Ideal,E,596
0.5,Premium,D,1758
0.31,Premium,F,874
1.11,Ideal,G,7608
0.33,Ideal,G,971
0.41,Ideal,H,787
0.34,Premium,D,1033
0.41,Ideal,F,809
0.59,Ideal,E,1793
0.72,Premium,D,2691
1.35,Ideal,H,6502
1.11,Premium,F,4134
0.5,Ideal,D,1332
0.76,Fair,D,2518
0.94,Premium,E,4027
1.11,Very Good,G,5000
0.9,Very Good,H,3447
1.51,Ideal,I,8193
0.51,Very Good,E,1427
0.34,Ideal,E,790
0.4,Good,D,786
0.26,Ideal,E,769
0.71,Ideal,D,3316
1.01,Premium,G,7466
0.56,Premium,H,1653
0.83,Ideal,E,4024
0.42,Ideal,E,1024
0.28,Very Good,E,487
0.32,Ideal,G,540
0.3,Good,G,526
0.63,Ideal,D,2313
0.71,Good,G,2251
0.35,Very Good,G,898
0.46,Very Good,F,1273
0.33,Very Good,E,579
1.01,Good,G,3626
0.72,Good,F,3002
0.56,Premium,G,1441
0.57,Ideal,G,2095
0.4,Premium,F,1263
1.1,Very Good,H,4938
0.57,Ideal,G,1851
0.71,Ideal,G,3299
0.96,Ideal,G,4355
1.5,Premium,D,13445
1.0,Premium,J,3920
0.41,Very Good,E,866
0.41,Ideal,D,1076
0.71,Ideal,F,3710
0.35,Premium,E,984
0.32,Ideal,E,516
0.6,Ideal,D,2325
2.53,Premium,H,17591
0.52,Very Good,E,1369
0.35,Ideal,E,984
1.09,Very Good,J,5588
1.01,Ideal,I,4887
0.5,Good,E,2183
0.28,Very Good,E,487
0.83,Ideal,J,2742
1.35,Premium,G,10415
0.71,Premium,E,2343
0.5,Ideal,E,1629
1.2,Premium,I,5699
0.43,Premium,G,1008
2.2,Premium,I,18364
0.3,Premium,G,905
0.56,Very Good,F,1706
1.07,Premium,G,5091
0.72,Ideal,F,5051
0.9,Premium,G,3879
1.53,Ideal,G,15137
1.01,Ideal,G,6108
0.59,Premium,I,1837
0.3,Ideal,G,491
0.53,Premium,G,1363
1.03,Ideal,F,6059
0.3,Ideal,D,1069
0.7,Very Good,D,3092
0.32,Premium,G,936
0.51,Ideal,E,1438
2.05,Premium,H,16431
1.03,Premium,G,6146
0.56,Premium,D,1814
0.57,Ideal,E,1949
1.13,Very Good,E,5052
1.18,Premium,H,6159
0.51,Premium,D,1574
0.3,Ideal,F,652
0.8,Ideal,F,6674
1.54,Fair,I,6375
0.3,Premium,E,844
0.52,Premium,D,2467
0.53,Very Good,H,1046
1.3,Premium,H,4368
0.29,Ideal,H,464
2.18,Ideal,I,14870
0.32,Ideal,J,533
1.01,Premium,E,4751
1.01,Premium,D,5860
0.71,Ideal,E,3464
0.31,Ideal,E,642
1.01,Good,G,4672
1.0,Good,F,4102
0.33,Premium,J,557
0.7,Ideal,G,2507
0.5,Ideal,E,1337
1.01,Good,F,4221
1.05,Ideal,D,5914
0.42,Very Good,G,847
0.43,Premium,E,882
2.02,Very Good,H,15851
1.21,Premium,I,4391
0.7,Premium,I,2536
1.04,Ideal,J,3931
0.31,Very Good,H,698
0.42,Premium,F,1103
0.43,Ideal,F,948
1.72,Fair,D,8264
0.72,Premium,J,2043
1.7,Premium,H,10333
1.01,Premium,G,3014
0.28,Good,F,492
0.7,Ideal,E,3345
1.0,Ideal,G,6349
0.79,Very Good,G,2394
1.09,Ideal,F,9786
0.67,Ideal,G,2010
0.7,Very Good,G,2010
0.5,Very Good,E,1559
0.33,Premium,G,752
1.65,Ideal,J,8334
1.51,Premium,G,9710
1.04,Premium,F,9505
1.23,Ideal,F,5163
0.37,Very Good,D,760
1.51,Premium,H,5767
1.09,Premium,F,8204
1.2,Very Good,E,9904
0.3,Ideal,I,438
2.05,Ideal,H,17294
0.32,Ideal,G,1080
0.32,Ideal,G,1080
0.23,Very Good,D,458
1.51,Ideal,E,7272
0.24,Ideal,G,559
1.5,Very Good,J,6987
0.32,Ideal,D,972
0.3,Very Good,I,810
0.29,Ideal,H,607
0.71,Premium,G,2694
0.9,Premium,H,3326
0.38,Ideal,H,833
0.46,Premium,I,880
0.33,Ideal,F,880
1.52,Premium,D,10487
0.7,Premium,F,3348
1.59,Very Good,J,8515
1.02,Very Good,F,4162
1.09,Ideal,H,5262
1.0,Good,E,3696
0.42,Ideal,H,1299
0.33,Very Good,F,859
0.3,Ideal,H,450
0.8,Ideal,D,3210
0.91,Premium,F,4204
1.51,Fair,G,8794
2.02,Very Good,H,18236
0.59,Ideal,G,1891
0.33,Very Good,I,445
0.3,Ideal,E,675
1.02,Very Good,I,3927
0.3,Premium,J,506
0.4,Very Good,E,707
0.42,Ideal,G,704
0.31,Ideal,E,734
1.13,Very Good,D,8561
0.37,Very Good,E,649
0.55,Ideal,J,1059
0.41,Ideal,F,1115
1.0,Premium,F,5544
